Standardized_name,YPD,LET,Flor,LD,IG,PSH,PA,Missing,MissingCollection
,,,,,,,,,
AVD,1,2,3,1,0.022066001,0,6.006847183,,
,,,,,,,,,
AVH,1,1.666666667,3.333333333,1,0.021979781,0,3.593828104,,
,,,,,,,,,
AVI,2.666666667,2,0,1,2.790960452,0,2.290411114,,
,,,,,,,,,
AVK,1,2,0,1,0,0,3.461788756,,
,,,,,,,,,
AVL,1,2,0,2,9.518951613,21.63294333,8.459949636,,
,,,,,,,,,
AVM,1.666666667,2,0,2,0.319882168,0,2.131963897,,
,,,,,,,,,
AVN,1,1,1,1,0,13.04574,0.464023993,,
,,,,,,,,,
AVQ,1,1,0.666666667,3,85.5384218,137.8402667,3.466976016,,
,,,,,,,,,
AVR,1,1,1.333333333,3,81.4942197,97.56728667,7.677144932,,
,,,,,,,,,
AVS,1,1,1,1,69.67465212,132.9965667,20.23738788,,
,,,,,,,,,
AVT,1,1,0,3,28.3489676,114.27927,2.618623207,,
,,,,,,,,,
AVV,1,0,0,1,0.157760191,0,0.317837573,,
,,,,,,,,,
BAA,1,1,1,1,0.019319023,0,0.092427543,,
,,,,,,,,,
BAB,1,1,0.666666667,1,0.004272956,0,0.227767875,,
,,,,,,,,,
BAC,1,1,0.666666667,1,0.02100294,0,0.069792227,,
,,,,,,,,,
BAD,1,1,0.666666667,1,0.016226092,0,0.289071858,,
,,,,,,,,,
BAE,1,1,0.666666667,1,0.089725398,0,0.120721689,,
,,,,,,,,,
BAF,1,3,0,1.666666667,0.538020286,19.66057333,1.764139999,,
,,,,,,,,,
BAG,1,1,0,1,0.006498344,0,1.137424667,,
,,,,,,,,,
BAH,1,1,0,1,0.782046734,11.88663267,0.722915429,,
,,,,,,,,,
BAI,1,1,0,1,0.41337564,0,1.816484169,,
,,,,,,,,,
BAK,1,1,0,1,0.163666947,0,0.353676824,,
,,,,,,,,,
BAL,1,1,0,1.666666667,0.90224623,0,0.533344651,,
,,,,,,,,,
BAM,1,2,0,2,0,0,2.40217299,,
,,,,,,,,,
BAN,1,1,0,1,0.002882841,0,4.735025323,,
,,,,,,,,,
BAP,1,1,0,1,0.461761388,0,0.626715333,,
,,,,,,,,,
BAQ,1,2,0,2.333333333,0.02221094,0,3.06708542,,
,,,,,,,,,
BAS,1,2,0.666666667,1,2.134874915,16.42126667,4.104065869,,
,,,,,,,,,
BAT,1,1.333333333,0,1,3.392253137,15.50419,0.789406672,,
,,,,,,,,,
BAV,1,1,0,1,5.507219188,16.81586333,1.092154033,,
,,,,,,,,,
BBA,1,2,2,1,3.932650796,10.68806,8.919729508,,
,,,,,,,,,
BBB,1,1,0,1,11.76795596,26.96793667,0.548906431,,
,,,,,,,,,
BBC,1,1,0,1,0.034970969,0,0.14665799,,
,,,,,,,,,
BBD,1.666666667,5,3,4,80.28959305,31.6333,4.657216422,,
,,,,,,,,,
BBE,2,5,3.666666667,5,68.94936537,40.556891,5.722491017,,
,,,,,,,,,
BBH,1,1.666666667,0.333333333,1,0.017897092,0,4.48037801,,
,,,,,,,,,
BBI,1,2,3.333333333,1,0.510169272,0,21.47525677,,
,,,,,,,,,
BBK,1,1,1.666666667,1.666666667,0.047679606,0,23.47423818,,
,,,,,,,,,
BBL,1,1,0,1.666666667,0.173150299,0,1.752822341,,
